idPrd	codePrd	libPrd	prixAchat	puVente	ccQteStock
71	3433422408159	LRP EFFACLAR LT ASTRING F200ML	380	610	10
72	3337875549486	LRP EFFACLAR GEL MOUSS T300ML	360.75	580	10
73	3337875545822	LRP TOLERIANE GEL MOUSSANT 400ML	590	950	10
74	3337875722827	LRP EFFACLAR SERUM ULTRA CONCEN 30ML	830	1330	10
75	3337875537315	LRP LIPIKAR SYNDET AP+ FL400ML	430	670	10
76	3433422404403	LRP EAU THERMALE  300ML	340	550	10
77	3337875583626	LRP HYALU B5 SERUM 30ML	980	1570	10
78	3337872411083	LRP EFFACLAR GEL MOUSS T200ML	334	540	10
79	3337875548519	LRP CICAPLAST GEL LAVANT B5 200ML	420	670	10
80	3337872418785	LRP LIPIKAR GEL LAVANT 400ML	400	640	10
81	3337875797719	LRP ANT UVMUNE ULTCR SP50+ T50ML	470	750	10
82	3337875546430	LRP ANT UVMUNE OILCONT. GEL-CREME SPF50+T50ML	470	750	10
83	3337875876940	LRP CICAPLAST BALM B5 SPF50+ T40ML	450	720	10
84	3337875578486	LRP TOLERIANE SENSITIVE CREME T40ML	500	800	10
85	3337872412158	LRP DEO PHYSIO BILLE 50ML	300	480	10
86	3337875890113	LRP MELA B3 SOIN SPF30 40ML	950	1320	10
87	3337875763790	LRP LIPIKAR BAUME AP+M 200ML	440	700	10
88	3337875696838	LRP ANT SPRAY AP 50+ F200ML	690	1100	10
89	3337875797597	LRP ANT UVMUNE FLU SP50+ T50ML	470	750	10
90	30070349	LRP NUTRITIC STICK LEVRE 4.7ML	180	280	10
91	3337875909235	LRP PURE VIT C12 SERUM 30ML	960	1490	10
92	3433422408586	LRP LIPIKAR SURG LIQUID T400ML	520	830	10
93	3662361000999	SVR CLAIRIAL NIGHT PEEL 50ML	970	1490	10
94	3662361001835	SVR SEBIACLEAR ACTIVE+ RENO 40ML	350	560	10
95	3662361003402	SVR SEBIACLEAR GEL MOUSSANT 400ML	520	830	10
96	3662361003037	SVR CLAIRIAL SPF50+ LUM VISIBLE 50ML	780	1240	10
97	3662361003396	SVR SEBIACLEAR GEL MOUSSANT 200ML	290	430	10
98	3401360167872	SVR SENSIFINE AR CREME 40ML	800	860	10
99	3401381328993	SVR SPIRIAL ROLL'ON 50ML	290	460	10
100	3662361003860	SVR SPIRIAL ROLL'ON NAT 50ML	320	510	10
101	3662361001880	SVR TOPIALYSE GEL LAVANT 200ML	230	350	10
102	3662361001705	SVR SUN SECURE CREME SPF50+ RENO 50ML	490	740	10
103	3401381381981	SVR TOPIALYSE MAINS SECHES 50ML	160	350	10
104	3661434006159	UR BARIEDERM CICA CREME REPAR T 15ML	140	220	10
105	3661434004735	UR BARIEDERM CICA CREME T 40ML	260	420	10
106	3661434008962	UR BARIEDERM CICA GEL NETTOYANT  T 200ML	350	560	10
107	3661434009778	UR DEPIDERM SPF50+ SOIN DE JOUR F 30ML	720	1150	10
108	3661434005459	UR BARIEDERM CICA LEVRES PROT T 15ML	300	580	10
109	3661434011931	UR BARIEDERM CICA-DAILY SERUM FP 30ML	920	1470	10
110	3661434011979	UR BARIESUN SPF50+ FLUID 100 F 50ML	530	850	10
111	3661434008917	UR BARIESUN SPF50+ FLUIDE ANTI TACHE T 40ML	360	580	10
112	3661434009525	UR EAU THERM. SERUM BOOSTER H.A. 30ML	600	960	10
113	3661434000515	UR EAU THERMALE SPR 150ML	210	340	10
114	3661434007408	UR DS HAIR SHAMP EQUILIBRANT  F 200ML	320	510	10
115	5999566330483	GG MIGHTY MELT	576	1040	10
116	5999566330261	GG JELLY JOKER	427	830	5
117	5999566330247	GG LIQUID HYDRATION	383	710	5
118	5999566330445	GG HAPPIER BARRIER	486	840	5
119	5999566330155	GG C-GLOW	563	990	3
120	5999566330643	GG POWER PEPTIDES	711	1090	9
121	5999566330148	GG aPAD	531	960	9
122	5999566330162	GG B-Bomb	383	680	4
123	5999566330360	GG Porefectly Clear	351	1150	8
124	5999566330131	GG HA 5 Rich	428	890	5
125	8806133613801	DRC ROYAL VITA PROPOLIS 33 AMPOULE JUMBO	788	1290	6
126	8809076776473	BTS VEGAN RETINAL BAKUCHIOL SERUM	373	800	5
127	8809844993101	JART CERAMIDIN SKIN BARRIER MOISTURIZING CREAM	NULL	1480	5
128	8809724477271	JART Pore-remedy PHA Exfoliating Serum	0	1450	5
129	1133614904	PETER Barrier Adaptogen Lotion 2.0 (For Oily Skin)	NULL	1480	5
130	1133260083	PETER Barrier Adaptogen Cream 2.0 (For Dry Skin)	0	1550	5
131	3337871328795	VICHY LIFTACTIV SUPR HA CREM JOUR 50ML	1120	1800	10
132	3337871308612	VICHY EAU TH MINERALISANTE 150ML	270	430	10
133	3337871330262	VICHY SH ANTIPE CH SEC F200ML	380	610	10
134	3337871330286	VICHY SH ANTIPE CH GR F200ML	380	610	10
135	3337871311292	VICHY DT SH ENERGISAN FL200ML	350	560	10
136	3337871310592	VICHY AEROSOL AT INTENSE 48H 125ML	370	590	10
137	3337871320362	VICHY BILLE AT CONTROLE EXTR 72H 50ML	300	480	10
138	3337871320379	VICHY BILLE DEO PS 50ML 48H	300	480	10
139	3337871323622	VICHY CS EMULSION TOUCHER SEC SPF50 50ML	370	590	10
140	3337875837149	VICHY VCS F UV CLEAR SPF50 40ML	580	930	10
141	3337875762298	VICHY CS FLUIDE UV-AGE DAILY SPF50+	580	890	10
142	3337871322502	VICHY Liftactive Supreme Nuit 50ml	1020	1610	10
143	3337875607254	VICHY LIFT COLLAGEN SPE JOUR J50ML	1161.6	1950	10
144	3337871322502	LIFT DAY CR COLLAGEN 50ML	1161	1850	10
145	898220015542	CGN Hydrolyzed Collagen Type I & III	NULL	520	8
146	733739032553	NOW Melatonin, 3 mg	0	580	8
147	793574995192	NC Prostate Support	NULL	1350	4
148	733739015204	NOW Zinc, 50 mg	NULL	540	6
149	733739047212	NOW Maca, 500 mg	0	790	4
150	898220016938	LAN Bee Propolis, 1,000 mg	NULL	730	5
151	737870154112	LE Glutathione, Cysteine & C	NULL	1500	4
152	609492800206	MRM Moringa Leaf 600mg	NULL	720	3
153	810014679372	NUTRI L-Theanine 200mg	NULL	1120	5
154	087614020730	SWANSON Albion®, Magnesium Glycinate, 133 mg	236	660	5
155	087614019132	SWANSON Tri-Fiber Complex	NULL	900	4
156	733739024107	NOW Brewer's Yeast, 650 mg	NULL	1180	5
157	305731347623	CENTRUM Men's Multivitamin Gummies, 50 Day	NULL	1110	6
158	305731348064	CENTRUM Women's Multivitamin Gummies, 50 Day	670	1110	8
159	898220009527	CGN Omega-3 Premium Fish Oil	NULL	1200	8
160	737870190431	LF NAD+ Cell Regenerator	NULL	1800	3
161	810126660732	FF NMN, 300 mg	NULL	2200	4
162	733739031556	NOW Hyaluronic Acid, 100 mg	NULL	1950	4
163	733739032515	NOW Astaxanthin, 4 mg	NULL	1300	3
164	737870889069	LE Rhodiola Extract, 250 mg	NULL	1200	6
165	733739029263	NOW Probiotic-10, 25 Billion	NULL	1500	4
166	087614111360	SWANSON Full Spectrum® Korean Red Ginseng Root, 400 mg	NULL	800	3
167	087614028033	SWANSON Albion, Magnesium & Calcium with Vitamins D3 & K2	450	1300	4
168	087614110097	SWANSON Glucosamine, Chondroitin & MSM	NULL	1110	3
169	898220009312	CGN Gold C™, USP Grade Vitamin C	NULL	500	5
170	087614019574	SWANSON Full Spectrum® Ashwagandha	NULL	780	7
171	8435415080385	Scandal Absolu Homme	0	2500	2
172	888066075145	Ombré Leather	NULL	7000	2
173	888066004503	Tobacco Vanilla	NULL	6500	2
174	3700559603116	Baccarat Rouge	NULL	9800	2
175	3700559602188	L’Eau De La Rose	NULL	7000	2
176	370055966513	Oud Satin Mood	NULL	9800	2
177	3700559605905	PARFUM Baccarat Rouge Extrait	0	14700	2
178	3700559613610	PARFUM MAISON FRA KUR  724	0	8700	2
179	3614272761469	Donna Born In Roma	NULL	6900	2
180	3614273790826	Donna Born In Roma Intense	NULL	6100	2
181	3614273261425	VALENTINO Uomo Born In Roma Yellow Dream	0	6000	2
182	842185115861	Santal 33	NULL	8900	2
183	3700578502681	Haltane	NULL	11500	2
184	3700578502322	Layton	NULL	9500	2
185	3700578521002	Delina	NULL	12000	2
186	3700578503046	Valaya	NULL	12000	2
187	3348901687164	PARFUM OUD ISPAHAN	0	18000	2
188	506037918881	Burlington 1819	NULL	14500	2
189	506037917389	Oceania	NULL	14500	2
190	8681008055180	Hacivat	NULL	11700	2
191	8681008055173	Hundred Silent Ways	NULL	10500	2
192	3605521932105	Jazz Club	NULL	6300	2
193	3614273939973	From The Garden	NULL	7200	2
194	7340032806182	Bal d’Afrique	NULL	7000	2
195	7340032806168	Gypsy Water	NULL	7000	2
196	VV4006	NO. 4006 Fragrance Oil for Cold Air Diffusers - Inspired by: Casamorati by Xerjoff	NULL	1520	0
197	VV004002	VV NO. 4002 Fragrance Oil for Cold Air Diffusers - Inspired by: Erba Pura by Xerjoff	0	1750	2
198	VV003115	VV NO. 3115 Fragrance Oil for Cold Air Diffusers - Inspired by: Neroli Portofino by Tom Ford	0	1530	2
199	VV000100	VV NO. 100 Fragrance Oil for Cold Air Diffusers - Sweater Weather	NULL	1360	2
200	VV000044	VV NO. 44 Fragrance Oil for Cold Air Diffusers - Jasmine	NULL	880	2
201	VV003600	VV NO. 3600 Fragrance Oil for Cold Air Diffusers - Inspired by: Aventus by Creed	NULL	1500	2
202	VV003400	VV NO. 3400 Fragrance Oil for Cold Air Diffusers - Inspired by: Baccarat Rouge 540 by Maison Francis	NULL	1420	2
203	VV000050	VV NO. 50 Fragrance Oil for Cold Air Diffusers - Mahogany Teakwood	NULL	960	2
204	VV001001	VV NO. 1001 Fragrance Oil for Cold Air Diffusers - Inspired by: Escapade & Ritz Carlton Hotel	NULL	1500	2
205	VV001304	VV NO. 1304 Fragrance Oil for Cold Air Diffusers - Inspired by: Santal 33 by Le Labo	NULL	1360	2
206	VV001000	VV NO. 1000 Fragrance Oil for Cold Air Diffusers - Inspired by: My Way & The One Hotel	NULL	1500	2
207	VVJuniper	VVJuniper Berry Essential Oil	NULL	560	1
208	VV	VV Coriander (Leaf) Essential Oil	NULL	880	1
209	VVhyssop	VV Hyssop Essential Oil	NULL	1100	1
210	VVbalsam	VV Balsam (Peru) Essential Oil	NULL	1100	1
211	Vvclarysage	VV Clary Sage Essential Oil	NULL	1220	1
212	Vvlavenderb	VV Lavender (Bulgaria) Essential Oil	NULL	720	2
213	Vvlavenderf	VV Lavender (France) Essential Oil	NULL	400	3
214	Vvorange	VV Orange (Sweet) Essential Oil	NULL	560	3
215	Vvpeppermint	VV Peppermint (Piperita) Essential Oil	NULL	480	4
216	Vveucalyptus	VV Eucalyptus Globulus Essential Oil	NULL	480	3
217	VVTTAAA	VV Tea Tree AAA Essential Oil	NULL	400	3
218	D001	Portable Aroma and Essential Oil diffuser with LED light 100ml	300	750	8
219	D0002	Ceramic Aroma and Essential Ultrasonic Oil Diffuser 100ml	300	790	8
220	D0003	Large Aroma and Essntial Ultrasonic Oil Diffuser 500ml	300	950	8
221	SimplyVital	SimplyVital Collagen, Retinol & Hyaluronic Acid Cream -	1080	1790	8
222	Viora	Bamboo Tea & Lemongrass Scented Candle and Reed Diffuser Gift Set	NULL	1000	100
223	3700281702835	TOP DA GEL NETTOYANT SURGRAS 500ML	450	720	10
224	3700281702873	TOP ULTRA HYDRATANT GOMMAGE DOUCEUR V&C 200ml	390	620	10
225	3700281703955	TOP MELA PAIN EXFOLIANT UNIFIANT 150gr	220	350	10
226	3700281705003	TOP MELA SERUM ECLAT ANTI-TACHES 30ML	690	1100	10
227	3700281703030	TOP DA PROTECT BAUME EMOLLIENT 500ML DUO	870	1390	10
228	3700281702415	TOP ULTRA HYDRATANT GEL DOUCHE 500ML	330	520	10
229	3700281702293	TOP ULTRA HYDRATANT CORPS 500ML DUO	760	1200	10
230	3700281702583	TOP DA PROTECT BAUME EMOLLIENT 200ML	380	600	10
231	3700281702682	TOP CICA CREME APAISANTE 40ml	220	380	10
232	3700281704464	TOP MELA LAIT UNIFIANT UH 200ML	710	1050	10
233	3700281702446	TOP ULTRA HYDRATANT STICK LEVRES 4GR	120	190	10
234	3700281703573	TOP AC CONTROL SOIN MATIFIANT 40ML	350	560	10
235	3700281703269	TOP AC CONTROL GEL NETTOYANT PURIF 400ML	360	560	10
236	3700281704334	TOP H+ CR HYDRA  ECLAT LEGERE 40ML	400	640	10
237	3700281703252	TOP ULTRA HYDRATANT CREME MAINS 50ML	160	280	10
238	3700281704839	TOP KARITE MASQUE FORTIFIANT INTENS 250ML	390	620	10
239	3700281704815	TOP KARITE SHAP DOUX FORTIFIANT 200ML	260	410	10
240	3700281704396	TOP MELA CR JOUR UNIF ANTI-TACHES 40ML	650	1040	10
241	3700281704730	TOP MELA CR NUIT A-TACHES PEEL DOUX 40ML	650	1040	10
242	8424561007971	NATUR ALOE VERA GEL BAIN ET DOUCHE 1000 ML	NULL	380	10
243	3760019121048	SOS FLUIDE CLARIFIANT SPF25 50ML	470	750	10
244	3760019120560	SOS GEL DOUX NETTOYANT PURIFIANT 250ML	220	450	10
245	3760019127828	SOS MOUSSE NETTOYANTE CLARIFIANTE 100ML	330	520	10
246	3760019121079	SOS SERUM INTENSE CLARIFIANT 30ML	480	760	10
247	3760019120577	SOS LOTION TONIQUE HYDRATANTE 250 ML	270	480	10
248	3346020035756	RC GEL BAIN DE DOUCHE L'ORINAL +HUIL 50 ML FL1L	NULL	800	2
249	3596490006396	RC GEL BAIN DE DOUCHE LAIT DE FIGUE 1L	NULL	730	2
250	3596490004255	RC GEL BAIN DE DOUCHE L'ORIGINAL 400ML	NULL	380	2
251	3596490006358	RC GEL BAIN DE DOUCHE AMANDE VERTE F1L	NULL	730	2
252	3596490003500	RC HUILE BAIN DCHE VELUOTANTE FL250ML	NULL	400	1
253	3596490005078	RC HUILE BAIN DCHE VELUOTANTE FL750ML	NULL	576	1
254	3596490004293	RC GEL BAIN DOUCHE AMANDE VERTE 400 ML	NULL	380	1
255	3596490007652	RC SAVON NECTAR DE MIEL 200G	144	230	3
256	3596490007690	RC SAVON JARDIN L'ORIGINAL  200G	144	230	3
257	3596490007669	RC SAVON ORANGIER JASMIN 200G	150	240	3
258	3596490007645	RC SAVON DELICE DE FIGUE 200G	NULL	230	3
259	3596490004859	RC SAVON DERMO U.H.T PAIN 100G	NULL	160	3
260	3596490007034	RC NETTOYANT VIGASE GOMMANT DOUX 70G	NULL	400	3
