product_id,code,name,cached_stock,actual_stock,difference,status,issue
291,898220010332,CGN COLLAGENUP +HYALOR ACID+VIT C,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
292,D0004,AROMA DIFFUSER LIFT OF LEISURE 700ML,0.0,7.0,7.0,MISMATCH,CACHE_MISMATCH
293,3760019125909,SOS SERUM ANTI-TACHE ECLAT 30ML,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
294,3760019125923,SOS MELADERM CREME UNIF 50ML,0.0,0.0,0.0,OK,
295,3760019125886,SOS MELADERM LAIT ECLAIRCISS 150ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
296,3401361353625,BIO SEBIOM PORE REFINER 30ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
297,3662361001934,SVR BAUME NUIT DENSITIUM 50ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
298,3401360147508,BIO SEBIUM GLOBAL 30ML,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
299,3337875847292,LRP ANTHELIOS FLUIDE OIL CONTROL 50+,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
300,3282770112047,AVENE FLUIDE 50+ 50ML,0.0,0.0,0.0,OK,
301,3337875777797,LRP EFFACLAR H 40ML,0.0,3.0,3.0,MISMATCH,CACHE_MISMATCH
302,3337875890021,LRP MELA B3 SERUM 30ML,0.0,3.0,3.0,MISMATCH,CACHE_MISMATCH
303,3337875797467,LRP ANTHELIOS IOL CORRECT SPF50+,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
304,3760095250274,ACM SEBIONEX GEL 200ML,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
305,3760095251929,ACM DEPIWHITE 500ML,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
306,3760095250441,ACM DEPIWHITE ADVANCED 40ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
307,3760095250205,ACM DEPIWHITE GEL CONTOUR LOEIL,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
308,3337875814652,CERAVE CREME HYDRATANTE VISAGE SPF50,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
309,3760019121734,SOS CREME SOLAIRE TRES HAUTE PROTECTION 50+0RICHE,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
310,3760019121086,SOS CREME CLARIFIANTE NUIT 50ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
311,3700281702774,TOPICREM AC GEL NETTOYANT PURIFIANT,0.0,0.0,0.0,OK,
312,3700281704471,TOPICREM CICA+ HUILE CONCENTREE 100ML,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
313,8680512607144,BIOBLAS ARGAN OIL CARE 100ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
314,3700281703296,TOP CREME AC CONTROL GEL NETTOYANT 400ML,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
315,087614018836,SWANSON HAIR SKIN & NAILS 60TAB,0.0,5.0,5.0,MISMATCH,CACHE_MISMATCH
316,898220010592,CGN CREATINE MONOHYDRATE,0.0,3.0,3.0,MISMATCH,CACHE_MISMATCH
317,098220011704,CGN BIOTIN 10000mcg,0.0,4.0,4.0,MISMATCH,CACHE_MISMATCH
318,733739077585,CGN SHEA BUTTER,0.0,3.0,3.0,MISMATCH,CACHE_MISMATCH
319,scanner,scanner machine,0.0,496.0,496.0,MISMATCH,HIGH_STOCK_VERIFY
320,3337875917407,LRP ANT FLUIDE ANTI-TACHES,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
321,3282770203929,DUC DEXYANE BAUM 400ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
322,3282770053029,DUC DEXYANE GEL NETTOYAN 400ML,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
323,3337875663076,VICHY NORMADERM INTENSIV GEL 200ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
324,3337875663083,VICHY NORMADERM GEL INTENSIVE 400ML,0.0,0.0,0.0,OK,
325,3282770389234,MELASCREEN CONT YEUX 15ML,0.0,0.0,0.0,OK,
326,3700281703283,CICA CREME APAISANTE 100ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
327,3662361002726,SVR SEBIACLEAR CR MAT+PORES 40ML,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
328,733739065124,NOW GLUCOMANNAN,0.0,3.0,3.0,MISMATCH,CACHE_MISMATCH
329,810141910225,AC 10% GLYCOLIC ACID LACTIC ACID,0.0,4.0,4.0,MISMATCH,CACHE_MISMATCH
330,818901028487,EVL WHEY PROTEIN,0.0,3.0,3.0,MISMATCH,CACHE_MISMATCH
331,898220025121,CGN VITAMIN D3 + K2,0.0,6.0,6.0,MISMATCH,CACHE_MISMATCH
332,087614170954,SWANSON OMEGA3 CONCENTRATE,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
333,5999566330421,GG hydration station,0.0,0.0,0.0,OK,
334,5999566330292,GG A GAME RETINOL 0.1%,0.0,-4.0,-4.0,MISMATCH,NEGATIVE_STOCK
335,minoxidil,MINOXIDIL,0.0,9.0,9.0,MISMATCH,CACHE_MISMATCH
336,X0023ETFPF,TEETH WHITENING STRIPS,0.0,0.0,0.0,OK,
337,3401395376874,BIODERMA CREALINE H2O 100ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
338,3701129805329,BIODERMA ATODERM CREME ULTRA,0.0,0.0,0.0,OK,
339,3337875904513,CERAVE GEL CREME OIL CONTROL 52ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
340,3596490000066,RC SAVON L ORIGINAL 150G,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
341,3662361000401,SVR VIT C AMPOUL 30ML,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
342,3337875761031,LRP ANTI AGE CORRECT SPF50+,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
343,3760095250168,ACM NOVAPHANE,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
344,00004444+,parfum voiture,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
345,868051628408,BIOBLAS CAFFEINE+GINSENG,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
346,3701129802069,BIODERMA ATODERM INTENSIVER BAUME T200ML,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
347,3337875696548,LRP LIPIKAR AP+M 400ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
348,3282770205633,AVENE CICALFATE+,0.0,2.0,2.0,MISMATCH,CACHE_MISMATCH
349,3701129803721,PHOTODERM MINERALFLUIDE 50+,0.0,0.0,0.0,OK,
350,3282770389296,DUC MELASCREEN CREM ANTI TACHTE 50+,0.0,0.0,0.0,OK,
351,4005800303647+,EUCERIN ANTI PIGMENT SUREM ECLAT,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
352,3337875920582,LRP HYALU B5 SERUM,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
353,4066447888683,BALEA DEDERON,0.0,0.0,0.0,OK,
354,3282770141351,DUC KERACNYL GEL NOTTOYANT 200ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
355,3337872414145,LRP CICAPLAST MAINS,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
356,3337875837804,LRP CICAPLAST B5 SERUM,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
357,3337875708265,LRP EFFACLAR 200ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
358,3662361002467,SVR CREME RICHE DENSITIUM 50ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
359,3662361001897,SVR GEL LAVANT TOPIALYSE 400ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
360,+3760095250281+,ACM SEDIONEX K,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
361,4005800119361,EUC IOL CONTROL 50+,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
362,850034069944,SB KERATIN RASPBERY OIL SHAMPOOI,0.0,4.0,4.0,MISMATCH,CACHE_MISMATCH
363,716237183590,GIO ULTRA SLEEK SHAMPOO,0.0,4.0,4.0,MISMATCH,CACHE_MISMATCH
364,813606022167,CL BODY EXFOLIATOR,0.0,4.0,4.0,MISMATCH,CACHE_MISMATCH
365,4005800213052,EUC ANTI PIGMENT SOIN DE NUIT 50ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
366,4005800294808,EUC FILLER SION DE NUIT 50ML,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
367,4005800238963,EUC SUN PIGMENT CONTROL FLUID 50+,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
368,4005800065545,EUC SUN SENSITIVE PROTECT CREME 50+,0.0,1.0,1.0,MISMATCH,CACHE_MISMATCH
