idPrd	codePrd	libPrd	prixAchat	puVente	ccQteSortie
1	PRDMIGRATION	PRDMIGRATION	NULL	0	0
2	3571940000179	NOREVA TRIO WHITE XP SOIN DE JOUR FL30ML	850	1590	0
3	3571940002180	NOREVA TRIO WHITE XP CREME DE NUIT FL30ML	850	1350	0
4	3571940000186	NOREVA TRIO WHITE XP SERUM 30ML	990	1560	0
5	3571940000193	NOREVA TRIO WHITE XP SOIN DE JOUR SPF 50+ FL40ML	970	1550	0
6	3401572288297	BIO SEBIUM H2O F250ML	300	430	0
7	3401353806399	BIO SEBIUM GEL MOUSSANT T200 ML	400	580	0
8	3401572288129	BIO CREALINE H2O F250ML	380	780	0
9	3701129805008	BIO CREALINE H2O F500ML	480	1020	0
10	3401564695546	BIO CICABIO CREME 50+ T30ML	470	770	0
11	3701129805343	BIO ATODERM CREME ULTRA 500ML	420	830	0
12	3401399694127	BIO HYDRABIO H2O 250ML	520	750	0
13	3701129800119	BIO PIGMENTBIO C-CONCENTRATE F15ML	960	1520	0
14	3701129800096	BIO PIGMENTBIO SENSITIVE AREAS T75ML	540	700	0
15	3701129800072	BIO PIGMENTBIO DAILY CARE SPF50+	801	1280	0
16	3701129800553	BIO PIGMENTBIO FOAMING CREAM F500ML	900	1380	0
17	3701129807385	BIO PHOTODERM MAX AQUAFLUIDE  SPF50 NEUTRE T40ml	600	950	0
18	3401399277092	BIO SEBIUM GEL MOUSSANT FP 500 ML	720	980	0
19	3337875597388	CERAVE BAUME HYDRATANT 454ML	490	780	0
20	3337875597180	CERAVE CREME LAVANTE 236ML	300	480	0
21	3337875597333	CERAVE CREME LAVANTE 473ML	380	600	0
22	3337875743563	CERAVE CREME MOUSSANTE 236ML	330	530	0
23	3337875597272	CERAVE CREME REPARATRICE YEUX 15ML	370	590	0
24	3337875684101	CERAVE CREME SA ANTI RUGOSITES 340ML	470	750	0
25	3337875684118	CERAVE GEL NETTOYANT ANTI RUGOSITES 236ML	323	520	0
26	3337875597449	CERAVE CREME VISAGE NUIT 52ML	400	630	0
27	3337875597197	CERAVE GEL MOUSSANT 236ML	330.05	550	0
28	3337875597357	CERAVE GEL MOUSSANT 473ML	399.9	640	0
29	3337875597210	CERAVE LAIT HYDRATANT 236ML	320	480	0
30	3337875597395	CERAVE LAIT HYDRATANT 473ML	470	750	0
31	3337875597227	CERAVEBAUME HYDRATANT 340g	390	630	0
32	3337875784054	CERAVEGEL MOUSSANT ANTI-IMPERF 236ML	350	550	0
33	3337875795456	CERAVEGEL NETTOYANT ANTI RUGOSITES 473ML	468	650	0
34	3337875840620	CERAVE CREME HYDRATANTE VISAGE SPF30+ 52ML	430	670	0
35	3337875597203	EUC EAU MICELLAIRE 295ML	360	570	0
36	4005800210617	EUC ANTI-PIGMENT SERUM DUO FP30ML	1560	2490	0
37	4005800347467	EUC ANTI-PIGMENT GEL NETTOYANT FP400ML	650	1020	0
38	4005800323713	EUC ANTI-PIGMENT SOIN CONT. YEUX ILLUMIN. CORRECT. CERNEST 15ML	1190	1740	0
39	4005800213014	EUC ANTI-PIGMENT SOIN DE JOUR FP50ML	1190	1740	0
40	4005800320712	EUC SUN PHOTOAGING CONTROL FLUID SPF 50 L-P 50 ML	720	1100	0
41	4005800147388	EUC SUN HYDRO PROTECT FLUIDE ULTRA-LEGER SPF 50+T-CANULE 50ML	720	1050	0
42	3282770145175	DUC KERACNYL UV SPF50+ FLUID 50ML	500	700	0
43	3282770205626	DUC ICTYANE ECLAT LAIT 400ML	730	1200	0
44	3282770208849	DUC ICTYANE PAIN  100 G	200	320	0
45	3282779370660	DUC ICTYANE STICK LEVRE TREALO 3G	170	270	0
46	3282770141320	DUC KERACNYL SOIN PP 30ML	370	590	0
47	3282770075533	DUC ANAPHASE SHP 200 ML	320	520	0
48	3282770204780	DUC ICTYANE LAIT HYDRATANT 400 ML	560	900	0
49	3282770389593	DUC MELASCREEN SERUM ECLAT 40ML	780	1240	0
50	3282770389272	DUC MELASCREEN FLUIDE 50+ 50ML	450	700	0
51	3282770141382	DUC KERACNYL GEL MOUSANT 400 ML	440	680	0
52	3282770073683	DUC ANAPHAS APRES SHAMPO 200ML	360	580	0
53	3282770203455	DUC ICTYANE CREME MAINS 50 ML	230	290	0
54	3282770114096	AVN TriXera PAIN COLD CR 100G	180	290	0
55	3282770207811	AVN CLEANANCE EAU MICELLAIRE 400 ML	348.5	570	0
56	3282770390414	AVN CLEANANCE COMEDOMED ANTI-IMP 30ML	470	760	0
57	3282770392654	AVN ULTRA FLUIDE 50+ 50ML	500	800	0
58	3282770019919	AVN CLEANANCE SAVON 100G	170	270	0
59	3282770389883	AVN XERACALM HUILE 400 ML	530	850	0
60	3282770393477	AVN VITAMIN ACTIV Cg SERUM 30ML	950	1490	0
61	3282770207774	AVN CLEANANCE GEL 400 ML	480	770	0
62	3282770139204	AVN CLEANANCE GEL 200 ML	360	580	0
63	3337875890069	LRP LRP MELA B3 GEL MICROPEELING 200ML	580	770	0
64	3337875694469	LRP LRP RETINOL B3 SERUM 30ML	980	1380	0
65	3337872413025	LRP LRP EFFACLAR MAT T40ML	400	640	0
66	3337875816847	LRP CICAPLAST BALM B5 T100ML	510	780	0
67	3337875863377	LRP EFFACLAR DUO+ CR T40ML	400	650	0
68	3433422404533	LRP LIPIKAR PAIN SURGRAS 150 GM	180	290	0
69	3337875613491	LRP EFFACLAR K+ T30ML FREN	446.2	720	0
70	3433422408357	LRP EFFACLAR EAU MICEL FL200ML	370	590	0
71	3433422408159	LRP EFFACLAR LT ASTRING F200ML	380	610	0
72	3337875549486	LRP EFFACLAR GEL MOUSS T300ML	360.75	580	0
73	3337875545822	LRP TOLERIANE GEL MOUSSANT 400ML	590	950	0
74	3337875722827	LRP EFFACLAR SERUM ULTRA CONCEN 30ML	830	1330	0
75	3337875537315	LRP LIPIKAR SYNDET AP+ FL400ML	430	670	0
76	3433422404403	LRP EAU THERMALE  300ML	340	550	0
77	3337875583626	LRP HYALU B5 SERUM 30ML	980	1570	0
78	3337872411083	LRP EFFACLAR GEL MOUSS T200ML	334	540	0
79	3337875548519	LRP CICAPLAST GEL LAVANT B5 200ML	420	670	0
80	3337872418785	LRP LIPIKAR GEL LAVANT 400ML	400	640	0
81	3337875797719	LRP ANT UVMUNE ULTCR SP50+ T50ML	470	750	0
82	3337875546430	LRP ANT UVMUNE OILCONT. GEL-CREME SPF50+T50ML	470	750	0
83	3337875876940	LRP CICAPLAST BALM B5 SPF50+ T40ML	450	720	0
84	3337875578486	LRP TOLERIANE SENSITIVE CREME T40ML	500	800	0
85	3337872412158	LRP DEO PHYSIO BILLE 50ML	300	480	0
86	3337875890113	LRP MELA B3 SOIN SPF30 40ML	950	1320	0
87	3337875763790	LRP LIPIKAR BAUME AP+M 200ML	440	700	0
88	3337875696838	LRP ANT SPRAY AP 50+ F200ML	690	1100	0
89	3337875797597	LRP ANT UVMUNE FLU SP50+ T50ML	470	750	0
90	30070349	LRP NUTRITIC STICK LEVRE 4.7ML	180	280	0
91	3337875909235	LRP PURE VIT C12 SERUM 30ML	960	1490	0
92	3433422408586	LRP LIPIKAR SURG LIQUID T400ML	520	830	0
93	3662361000999	SVR CLAIRIAL NIGHT PEEL 50ML	970	1490	0
94	3662361001835	SVR SEBIACLEAR ACTIVE+ RENO 40ML	350	560	0
95	3662361003402	SVR SEBIACLEAR GEL MOUSSANT 400ML	520	830	0
96	3662361003037	SVR CLAIRIAL SPF50+ LUM VISIBLE 50ML	780	1240	0
97	3662361003396	SVR SEBIACLEAR GEL MOUSSANT 200ML	290	430	0
98	3401360167872	SVR SENSIFINE AR CREME 40ML	800	860	0
99	3401381328993	SVR SPIRIAL ROLL'ON 50ML	290	460	0
100	3662361003860	SVR SPIRIAL ROLL'ON NAT 50ML	320	510	0
101	3662361001880	SVR TOPIALYSE GEL LAVANT 200ML	230	350	0
102	3662361001705	SVR SUN SECURE CREME SPF50+ RENO 50ML	490	740	0
103	3401381381981	SVR TOPIALYSE MAINS SECHES 50ML	160	350	0
104	3661434006159	UR BARIEDERM CICA CREME REPAR T 15ML	140	220	0
105	3661434004735	UR BARIEDERM CICA CREME T 40ML	260	420	0
106	3661434008962	UR BARIEDERM CICA GEL NETTOYANT  T 200ML	350	560	0
107	3661434009778	UR DEPIDERM SPF50+ SOIN DE JOUR F 30ML	720	1150	0
108	3661434005459	UR BARIEDERM CICA LEVRES PROT T 15ML	300	580	0
109	3661434011931	UR BARIEDERM CICA-DAILY SERUM FP 30ML	920	1470	0
110	3661434011979	UR BARIESUN SPF50+ FLUID 100 F 50ML	530	850	0
111	3661434008917	UR BARIESUN SPF50+ FLUIDE ANTI TACHE T 40ML	360	580	0
112	3661434009525	UR EAU THERM. SERUM BOOSTER H.A. 30ML	600	960	0
113	3661434000515	UR EAU THERMALE SPR 150ML	210	340	0
114	3661434007408	UR DS HAIR SHAMP EQUILIBRANT  F 200ML	320	510	0
115	5999566330483	GG MIGHTY MELT	576	1040	0
116	5999566330261	GG JELLY JOKER	427	830	0
117	5999566330247	GG LIQUID HYDRATION	383	710	0
118	5999566330445	GG HAPPIER BARRIER	486	840	0
119	5999566330155	GG C-GLOW	563	990	0
120	5999566330643	GG POWER PEPTIDES	711	1090	0
121	5999566330148	GG aPAD	531	960	0
122	5999566330162	GG B-Bomb	383	680	0
123	5999566330360	GG Porefectly Clear	351	1150	0
124	5999566330131	GG HA 5 Rich	428	890	0
125	8806133613801	DRC ROYAL VITA PROPOLIS 33 AMPOULE JUMBO	788	1290	0
126	8809076776473	BTS VEGAN RETINAL BAKUCHIOL SERUM	373	800	0
127	8809844993101	JART CERAMIDIN SKIN BARRIER MOISTURIZING CREAM	NULL	1480	0
128	8809724477271	JART Pore-remedy PHA Exfoliating Serum	0	1450	0
129	1133614904	PETER Barrier Adaptogen Lotion 2.0 (For Oily Skin)	NULL	1480	0
130	1133260083	PETER Barrier Adaptogen Cream 2.0 (For Dry Skin)	0	1550	0
131	3337871328795	VICHY LIFTACTIV SUPR HA CREM JOUR 50ML	1120	1800	0
132	3337871308612	VICHY EAU TH MINERALISANTE 150ML	270	430	0
133	3337871330262	VICHY SH ANTIPE CH SEC F200ML	380	610	0
134	3337871330286	VICHY SH ANTIPE CH GR F200ML	380	610	0
135	3337871311292	VICHY DT SH ENERGISAN FL200ML	350	560	0
136	3337871310592	VICHY AEROSOL AT INTENSE 48H 125ML	370	590	0
137	3337871320362	VICHY BILLE AT CONTROLE EXTR 72H 50ML	300	480	0
138	3337871320379	VICHY BILLE DEO PS 50ML 48H	300	480	0
139	3337871323622	VICHY CS EMULSION TOUCHER SEC SPF50 50ML	370	590	0
140	3337875837149	VICHY VCS F UV CLEAR SPF50 40ML	580	930	0
141	3337875762298	VICHY CS FLUIDE UV-AGE DAILY SPF50+	580	890	0
142	3337871322502	VICHY Liftactive Supreme Nuit 50ml	1020	1610	0
143	3337875607254	VICHY LIFT COLLAGEN SPE JOUR J50ML	1161.6	1950	0
144	3337871322502	LIFT DAY CR COLLAGEN 50ML	1161	1850	0
145	898220015542	CGN Hydrolyzed Collagen Type I & III	NULL	520	0
146	733739032553	NOW Melatonin, 3 mg	0	580	0
147	793574995192	NC Prostate Support	NULL	1350	0
148	733739015204	NOW Zinc, 50 mg	NULL	540	0
149	733739047212	NOW Maca, 500 mg	0	790	0
150	898220016938	LAN Bee Propolis, 1,000 mg	NULL	730	0
151	737870154112	LE Glutathione, Cysteine & C	NULL	1500	0
152	609492800206	MRM Moringa Leaf 600mg	NULL	720	0
153	810014679372	NUTRI L-Theanine 200mg	NULL	1120	0
154	087614020730	SWANSON Albion®, Magnesium Glycinate, 133 mg	236	660	0
155	087614019132	SWANSON Tri-Fiber Complex	NULL	900	0
156	733739024107	NOW Brewer's Yeast, 650 mg	NULL	1180	0
157	305731347623	CENTRUM Men's Multivitamin Gummies, 50 Day	NULL	1110	0
158	305731348064	CENTRUM Women's Multivitamin Gummies, 50 Day	670	1110	0
159	898220009527	CGN Omega-3 Premium Fish Oil	NULL	1200	0
160	737870190431	LF NAD+ Cell Regenerator	NULL	1800	0
161	810126660732	FF NMN, 300 mg	NULL	2200	0
162	733739031556	NOW Hyaluronic Acid, 100 mg	NULL	1950	0
163	733739032515	NOW Astaxanthin, 4 mg	NULL	1300	0
164	737870889069	LE Rhodiola Extract, 250 mg	NULL	1200	0
165	733739029263	NOW Probiotic-10, 25 Billion	NULL	1500	0
166	087614111360	SWANSON Full Spectrum® Korean Red Ginseng Root, 400 mg	NULL	800	0
167	087614028033	SWANSON Albion, Magnesium & Calcium with Vitamins D3 & K2	450	1300	0
168	087614110097	SWANSON Glucosamine, Chondroitin & MSM	NULL	1110	0
169	898220009312	CGN Gold C™, USP Grade Vitamin C	NULL	500	0
170	087614019574	SWANSON Full Spectrum® Ashwagandha	NULL	780	0
171	8435415080385	Scandal Absolu Homme	0	2500	0
172	888066075145	Ombré Leather	NULL	7000	0
173	888066004503	Tobacco Vanilla	NULL	6500	0
